Product,Name,Rating,CommentHead,Comment,_id
tv,Shiva,5,Classy product,Nice tv.. Good clarity of picture.. @this cost it is very good tv.. But no installation done. Installation done by self..,641a0791f420f514f68cd7de
tv,Flipkart Customer,5,Great product,It's a good item.iloved.it superit's very good tv on screen mirroring wifi usb.   And support superb tv thankyou Flipkart,641a0791f420f514f68cd7df
tv,Lokesh GIRHARE,5,Terrific purchase,Nice tv picture quality good & sound is to good screen minoring is not available,641a0791f420f514f68cd7e0
tv,Gaurav Vig,5,Worth every penny,"Nice product in such a low price range, good picture quality, good sound quality. Overall a good to buy in such a price range.",641a0791f420f514f68cd7e1
tv,Manoj  Yadav,5,Brilliant,I'm happy with the service and installation. The product is awesome a great deal of price. The picture quality is good and sound is best this segment. The system is also used friendly. Completely satisfied with the product..,641a0791f420f514f68cd7e2
tv,Deepak Pal,5,Wonderful,This product is very good quality.sound and all things is good and remote is better so I suggest that led tv because it's my country brand and all things is good and Nice product in such a low price range I am impressed.,641a0791f420f514f68cd7e3
tv,Darshna Thakar,4,Worth the money,"Very fast dilivery, was suppose get one 28 th arrived on 26 , giving one star less I got confirm message of installation for tv but they never arrived and cancelled from there end . Other wise picture quality , sound all good with good price .",641a0791f420f514f68cd7e4
tv,Puneet Rana,4,Really Nice,"Installed led smart tv today,happy to see its picture and sound quality.price wise it's a good deal,you get all smart features accept Disney plus hot star,app doesn't not run on my smart tv.. overall go for it without hesitation..",641a0791f420f514f68cd7e5
tv,Thakur Anand kishor  Chauhan ,5,Awesome,It's very good TV picture quality and sound quality is very good such as price range is sweetable for me.i am very happy after bought adsun led TV. I also like that because it is made in India. Fully domestic.,641a0791f420f514f68cd7e6
tv,Kantheti Vamsi Durga Krishna,5,Wonderful,"ExcellentGenuine & Unbiased review after 10 days of use. Audio, Video Price & Build quality is excellent. If any one want to purchase LED TV, then try once ADSUN LED TV. Definitely like it. In this price range, it is definitely worth it.",641a0791f420f514f68cd7e7
